#Related Characters extracted from NamesList.txt
001A;FFFD
0020;00A0
0020;200B
0020;202F
0020;2060
0020;3000
0020;FEFF
0021;00A1
0021;01C3
0021;203C
0021;203D
0021;2762
0022;02BA
0022;030B
0022;030E
0022;05F4
0022;2033
0022;3003
0023;2114
0023;2317
0023;266F
0024;00A4
0024;20B1
0024;1F4B2
0025;066A
0025;2030
0025;2031
0025;2052
0026;204A
0026;214B
0026;1F674
0027;02B9
0027;02BC
0027;02C8
0027;0301
0027;05F3
0027;2032
0027;A78C
002A;066D
002A;204E
002A;2217
002A;26B9
002A;2731
002B;2795
002C;060C
002C;201A
002C;2E41
002C;2E4C
002C;3001
002D;2010
002D;2011
002D;2012
002D;2013
002D;2043
002D;2212
002D;10191
002E;06D4
002E;2E3C
002E;3002
002F;01C0
002F;0338
002F;2044
002F;2215
002F;2E4A
003A;0589
003A;05C3
003A;2236
003A;A789
003B;037E
003B;061B
003B;204F
003C;2039
003C;2329
003C;27E8
003C;3008
003D;2260
003D;2261
003D;A78A
003D;10190
003E;203A
003E;232A
003E;27E9
003E;3009
003F;00BF
003F;037E
003F;061F
003F;203D
003F;2048
003F;2049
0042;212C
0043;2102
0043;212D
0045;2107
0045;2130
0046;2131
0046;2132
0048;210B
0048;210C
0048;210D
0049;0130
0049;0406
0049;04C0
0049;2110
0049;2111
0049;2160
004B;212A
004C;2112
004D;2133
004E;2115
0050;2119
0051;211A
0052;211B
0052;211C
0052;211D
0056;2164
005A;2124
005A;2128
005C;20E5
005C;2216
005E;02C4
005E;02C6
005E;0302
005E;2038
005E;2303
005F;02CD
005F;0331
005F;0332
005F;2017
0060;02CB
0060;0300
0060;2035
0065;212E
0065;212F
0067;0261
0067;210A
0068;04BB
0068;210E
0069;0131
0069;1D6A4
006A;0237
006A;1D6A5
006C;2113
006C;1D4C1
006E;207F
006F;2134
007A;01B6
007C;01C0
007C;05C0
007C;2223
007C;2758
007E;02DC
007E;0303
007E;2053
007E;223C
007E;FF5E
0082;200B
0083;2060
00A0;0020
00A0;2007
00A0;202F
00A0;2060
00A0;FEFF
00A1;0021
00A3;20A4
00A3;20BA
00A3;10192
00A4;0024
00A8;0308
00A9;2117
00A9;24B8
00A9;1F12F
00A9;1F1AD
00AB;226A
00AB;300A
00AC;2310
00AE;24C7
00AF;02C9
00AF;0304
00AF;0305
00B0;02DA
00B0;030A
00B0;2070
00B0;2218
00B1;2213
00B2;00B9
00B3;00B9
00B4;02B9
00B4;02CA
00B4;0301
00B4;2032
00B6;204B
00B6;2761
00B6;2E3F
00B7;0387
00B7;16EB
00B7;2022
00B7;2024
00B7;2027
00B7;2219
00B7;22C5
00B7;2E31
00B7;2E33
00B7;30FB
00B7;A78F
00B8;0327
00B9;00B2
00B9;00B3
00BB;226B
00BB;300B
00BF;003F
00BF;2E2E
00C5;212B
00D0;0110
00D0;0189
00D7;2715
00D7;274C
00D7;2A2F
00D8;2205
00DF;03B2
00E6;0153
00E6;04D5
00F0;03B4
00F0;2202
00F7;070B
00F7;2052
00F7;2212
00F7;2215
